market_date,market_day,market_week,market_year,market_start_time,market_end_time,special_notes,market_season,market_min_temp,market_max_temp,market_rain_flag,market_snow_flag
2019-03-02,Saturday,9,2019,"8:00 AM","2:00 PM",NULL,Spring,34,42,0,0
2019-03-09,Saturday,10,2019,"9:00 AM","2:00 PM",NULL,Spring,28,32,0,1
2019-03-13,Wednesday,11,2019,"4:00 PM","7:00 PM",NULL,Spring,52,60,0,0
2019-03-16,Saturday,11,2019,"8:00 AM","2:00 PM",NULL,Spring,33,45,0,0
2019-03-20,Wednesday,12,2019,"4:00 PM","7:00 PM",NULL,Spring,43,51,1,0
2019-03-23,Saturday,12,2019,"8:00 AM","2:00 PM",NULL,Spring,40,46,1,0
2019-03-27,Wednesday,13,2019,"4:00 PM","7:00 PM",NULL,Spring,55,62,0,0
2019-03-30,Saturday,13,2019,"8:00 AM","2:00 PM",NULL,Spring,39,55,1,0
2019-04-03,Wednesday,14,2019,"4:00 PM","7:00 PM",NULL,Spring,33,47,0,0
2019-04-06,Saturday,14,2019,"8:00 AM","2:00 PM",NULL,Spring,50,65,0,0
2019-04-10,Wednesday,15,2019,"4:00 PM","7:00 PM",NULL,Spring,57,65,0,0
2019-04-13,Saturday,15,2019,"8:00 AM","2:00 PM",NULL,Spring,48,55,0,0
2019-04-17,Wednesday,16,2019,"4:00 PM","7:00 PM",NULL,Spring,50,58,0,0
2019-04-20,Saturday,16,2019,"8:00 AM","2:00 PM",NULL,Spring,49,60,0,0
2019-04-24,Wednesday,17,2019,"4:00 PM","7:00 PM",NULL,Spring,51,59,0,0
2019-04-27,Saturday,17,2019,"8:00 AM","2:00 PM",NULL,Spring,51,68,0,0
2019-05-01,Wednesday,18,2019,"4:00 PM","7:00 PM",NULL,Spring,53,59,0,0
2019-05-04,Saturday,18,2019,"8:00 AM","2:00 PM",NULL,Spring,54,64,0,0
2019-05-08,Wednesday,19,2019,"4:00 PM","7:00 PM",NULL,Spring,NULL,NULL,0,0
2019-05-11,Saturday,19,2019,"8:00 AM","2:00 PM",NULL,Spring,NULL,NULL,0,0
2019-05-15,Wednesday,20,2019,"4:00 PM","7:00 PM",NULL,Spring,NULL,NULL,0,0
2019-05-18,Saturday,20,2019,"8:00 AM","2:00 PM",NULL,Spring,NULL,NULL,0,0
2019-05-22,Wednesday,21,2019,"4:00 PM","7:00 PM",NULL,Spring,NULL,NULL,0,0
2019-05-25,Saturday,21,2019,"8:00 AM","2:00 PM",NULL,Spring,NULL,NULL,0,0
2019-05-29,Wednesday,22,2019,"4:00 PM","7:00 PM",NULL,Spring,NULL,NULL,0,0
2019-06-01,Saturday,22,2019,"8:00 AM","2:00 PM",NULL,"Summer/Early Fall",49,69,0,0
2019-06-05,Wednesday,23,2019,"4:00 PM","7:00 PM",NULL,"Summer/Early Fall",71,82,0,0
2019-06-08,Saturday,23,2019,"8:00 AM","2:00 PM",NULL,"Summer/Early Fall",57,76,0,0
2019-06-12,Wednesday,24,2019,"4:00 PM","7:00 PM",NULL,"Summer/Early Fall",73,82,0,0
2019-06-15,Saturday,24,2019,"8:00 AM","2:00 PM",NULL,"Summer/Early Fall",56,64,0,0
2019-06-19,Wednesday,25,2019,"4:00 PM","7:00 PM",NULL,"Summer/Early Fall",68,76,0,0
2019-06-22,Saturday,25,2019,"8:00 AM","2:00 PM",NULL,"Summer/Early Fall",65,80,0,0
2019-06-26,Wednesday,26,2019,"4:00 PM","7:00 PM",NULL,"Summer/Early Fall",74,85,0,0
2019-06-29,Saturday,26,2019,"8:00 AM","2:00 PM",NULL,"Summer/Early Fall",72,79,0,0
2019-07-03,Wednesday,27,2019,"4:00 PM","7:00 PM",NULL,"Summer/Early Fall",70,89,0,0
2019-07-06,Saturday,27,2019,"8:00 AM","2:00 PM",NULL,"Summer/Early Fall",67,78,0,0
