vendor_id,booth_number,market_date
1,2,2019-04-03
3,1,2019-04-03
4,7,2019-04-03
7,11,2019-04-03
8,6,2019-04-03
9,8,2019-04-03
1,2,2019-04-06
3,1,2019-04-06
4,7,2019-04-06
7,11,2019-04-06
8,6,2019-04-06
9,8,2019-04-06
1,7,2019-04-10
3,1,2019-04-10
4,2,2019-04-10
7,11,2019-04-10
8,6,2019-04-10
9,8,2019-04-10
1,2,2019-04-13
3,1,2019-04-13
4,7,2019-04-13
7,11,2019-04-13
8,6,2019-04-13
9,8,2019-04-13
1,2,2019-04-17
3,1,2019-04-17
4,7,2019-04-17
7,11,2019-04-17
8,6,2019-04-17
9,8,2019-04-17
1,2,2019-04-20
3,1,2019-04-20
4,7,2019-04-20
7,11,2019-04-20
8,6,2019-04-20
9,8,2019-04-20
1,2,2019-04-24
3,1,2019-04-24
4,7,2019-04-24
7,11,2019-04-24
8,6,2019-04-24
9,8,2019-04-24
1,2,2019-04-27
3,1,2019-04-27
4,7,2019-04-27
7,11,2019-04-27
8,6,2019-04-27
9,8,2019-04-27
1,2,2019-05-01
3,1,2019-05-01
4,7,2019-05-01
7,11,2019-05-01
8,6,2019-05-01
9,8,2019-05-01
1,2,2019-05-04
3,1,2019-05-04
4,7,2019-05-04
7,11,2019-05-04
8,6,2019-05-04
9,8,2019-05-04
1,2,2019-05-08
3,1,2019-05-08
4,7,2019-05-08
7,11,2019-05-08
8,6,2019-05-08
9,8,2019-05-08
1,2,2019-05-11
3,1,2019-05-11
4,7,2019-05-11
7,11,2019-05-11
8,6,2019-05-11
9,8,2019-05-11
1,2,2019-05-15
3,1,2019-05-15
4,7,2019-05-15
7,11,2019-05-15
8,6,2019-05-15
9,8,2019-05-15
1,2,2019-05-18
3,1,2019-05-18
4,7,2019-05-18
7,11,2019-05-18
8,6,2019-05-18
9,8,2019-05-18
1,2,2019-05-22
3,1,2019-05-22
4,7,2019-05-22
7,11,2019-05-22
8,6,2019-05-22
9,8,2019-05-22
1,2,2019-05-25
3,1,2019-05-25
4,7,2019-05-25
7,11,2019-05-25
8,6,2019-05-25
9,8,2019-05-25
1,2,2019-05-29
3,1,2019-05-29
4,7,2019-05-29
7,11,2019-05-29
8,6,2019-05-29
9,8,2019-05-29
1,2,2019-06-01
3,1,2019-06-01
4,7,2019-06-01
4,11,2019-06-01
7,11,2019-06-01
8,6,2019-06-01
9,8,2019-06-01
1,2,2019-06-05
3,1,2019-06-05
4,7,2019-06-05
4,11,2019-06-05
7,11,2019-06-05
8,6,2019-06-05
9,8,2019-06-05
1,2,2019-06-08
3,1,2019-06-08
4,7,2019-06-08
4,11,2019-06-08
7,11,2019-06-08
8,6,2019-06-08
9,8,2019-06-08
1,2,2019-06-12
3,1,2019-06-12
4,7,2019-06-12
4,11,2019-06-12
7,11,2019-06-12
8,6,2019-06-12
9,8,2019-06-12
1,2,2019-06-15
3,1,2019-06-15
4,7,2019-06-15
4,11,2019-06-15
7,11,2019-06-15
8,6,2019-06-15
9,8,2019-06-15
1,2,2019-06-19
3,1,2019-06-19
4,7,2019-06-19
4,11,2019-06-19
7,11,2019-06-19
8,6,2019-06-19
9,8,2019-06-19
1,2,2019-06-22
3,1,2019-06-22
4,7,2019-06-22
4,11,2019-06-22
7,11,2019-06-22
8,6,2019-06-22
9,8,2019-06-22
1,2,2019-06-26
3,1,2019-06-26
4,7,2019-06-26
4,11,2019-06-26
7,11,2019-06-26
8,6,2019-06-26
9,8,2019-06-26
1,2,2019-06-29
3,1,2019-06-29
4,7,2019-06-29
4,11,2019-06-29
7,11,2019-06-29
8,6,2019-06-29
9,8,2019-06-29
1,2,2019-07-03
3,1,2019-07-03
4,7,2019-07-03
4,11,2019-07-03
7,11,2019-07-03
8,10,2019-07-03
9,8,2019-07-03
1,2,2019-07-06
3,1,2019-07-06
4,7,2019-07-06
4,11,2019-07-06
7,11,2019-07-06
8,10,2019-07-06
9,8,2019-07-06
1,2,2019-07-10
3,1,2019-07-10
4,7,2019-07-10
4,11,2019-07-10
