_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,STYLE,BARCODE,POSTERBOARD,POSTERBOARDSTATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
4925997,1,SH-02236,21,Redway Rd,Millwood Rd,West,Overlea Blvd,South,T2927,15.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3525662867, 43.7016026457)}"
4925998,2,SH-01079,2500,Sheppard Ave E,Victoria Park Ave,West,Sheppard Ave E,North,T7426,17.0,,C,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.3233502906, 43.7755353968)}"
4925999,4,SH-01713,155,Culford Rd,Lawrence Ave W,South,Culford Rd,East,T5356,5.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4873237914, 43.7063108168)}"
4926000,6,SH-00626,5359,Dundas St W,Dundas St W,South,Poplar Ave,West,T2180,3.0,,B,Existing,Enseicom,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5401479114, 43.635766332)}"
4926001,7,SH-02437,3077,Weston Rd,Weston Rd,West,Mainshep Rd,North,T11717,7.0,Emery Village,C,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.537795395, 43.7318061169)}"
4926002,8,SH-03650,1111A,College St,College St,South,Dufferin St,West,T826,9.0,College West,B,Existing,Enseicom,,Yes,Existing,0,,,,,"{u'type': u'Point', u'coordinates': (-79.4327269729, 43.652446126)}"
4926003,14,SH-00232,781,Warden Ave,Warden Ave,West,Civic Rd,,T8548,20.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.2868126979, 43.7252948046)}"
4926004,20,SH-02343,2200,Jane St,Jane St,East,Wilson Ave,North,T3940,6.0,,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5084781764, 43.7212937143)}"
4926005,26,SH-00692,986,The Queensway,The Queensway,North,Islington Ave,East,T6895,3.0,shoptheQueensway.com,A,Existing,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.514393635, 43.6238508677)}"
4926006,30,SH-03025,300,The East Mall,The East Mall,West,Bloor St W,North,T2202,2.0,,A,Temporarily Removed,Enseicom,,No,,0,,,,,"{u'type': u'Point', u'coordinates': (-79.5570031109, 43.637185214)}"
