market_date,market_day,market_week,market_year,market_start_time,market_end_time,special_notes,market_season,market_min_temp,market_max_temp,market_rain_flag,market_snow_flag
2022-03-04,Saturday,10,2022,8:00 AM,2:00 PM,NULL,Spring,34,42,0,0
2022-03-11,Saturday,11,2022,9:00 AM,2:00 PM,NULL,Spring,28,32,0,1
2022-03-15,Wednesday,12,2022,4:00 PM,7:00 PM,NULL,Spring,52,60,0,0
2022-03-18,Saturday,12,2022,8:00 AM,2:00 PM,NULL,Spring,33,45,0,0
2022-03-22,Wednesday,13,2022,4:00 PM,7:00 PM,NULL,Spring,43,51,1,0
2022-03-25,Saturday,13,2022,8:00 AM,2:00 PM,NULL,Spring,40,46,1,0
2022-03-29,Wednesday,14,2022,4:00 PM,7:00 PM,NULL,Spring,55,62,0,0
2022-04-01,Saturday,14,2022,8:00 AM,2:00 PM,NULL,Spring,39,55,1,0
2022-04-05,Wednesday,15,2022,4:00 PM,7:00 PM,NULL,Spring,33,47,0,0
2022-04-08,Saturday,15,2022,8:00 AM,2:00 PM,NULL,Spring,50,65,0,0
2022-04-12,Wednesday,16,2022,4:00 PM,7:00 PM,NULL,Spring,57,65,0,0
2022-04-15,Saturday,16,2022,8:00 AM,2:00 PM,NULL,Spring,48,55,0,0
2022-04-19,Wednesday,17,2022,4:00 PM,7:00 PM,NULL,Spring,50,58,0,0
2022-04-22,Saturday,17,2022,8:00 AM,2:00 PM,NULL,Spring,49,60,0,0
2022-04-26,Wednesday,18,2022,4:00 PM,7:00 PM,NULL,Spring,51,59,0,0
2022-04-29,Saturday,18,2022,8:00 AM,2:00 PM,NULL,Spring,51,68,0,0
2022-05-03,Wednesday,19,2022,4:00 PM,7:00 PM,NULL,Spring,53,59,0,0
2022-05-06,Saturday,19,2022,8:00 AM,2:00 PM,NULL,Spring,54,64,0,0
2022-05-10,Wednesday,20,2022,4:00 PM,7:00 PM,NULL,Spring,NULL,NULL,0,0
2022-05-13,Saturday,20,2022,8:00 AM,2:00 PM,NULL,Spring,NULL,NULL,0,0
2022-05-17,Wednesday,21,2022,4:00 PM,7:00 PM,NULL,Spring,NULL,NULL,0,0
2022-05-20,Saturday,21,2022,8:00 AM,2:00 PM,NULL,Spring,NULL,NULL,0,0
2022-05-24,Wednesday,22,2022,4:00 PM,7:00 PM,NULL,Spring,NULL,NULL,0,0
2022-05-27,Saturday,22,2022,8:00 AM,2:00 PM,NULL,Spring,NULL,NULL,0,0
2022-05-31,Wednesday,23,2022,4:00 PM,7:00 PM,NULL,Spring,NULL,NULL,0,0
2022-06-03,Saturday,23,2022,8:00 AM,2:00 PM,NULL,Summer/Early Fall,49,69,0,0
2022-06-07,Wednesday,24,2022,4:00 PM,7:00 PM,NULL,Summer/Early Fall,71,82,0,0
2022-06-10,Saturday,24,2022,8:00 AM,2:00 PM,NULL,Summer/Early Fall,57,76,0,0
2022-06-14,Wednesday,25,2022,4:00 PM,7:00 PM,NULL,Summer/Early Fall,73,82,0,0
2022-06-17,Saturday,25,2022,8:00 AM,2:00 PM,NULL,Summer/Early Fall,56,64,0,0
2022-06-21,Wednesday,26,2022,4:00 PM,7:00 PM,NULL,Summer/Early Fall,68,76,0,0
2022-06-24,Saturday,26,2022,8:00 AM,2:00 PM,NULL,Summer/Early Fall,65,80,0,0
2022-06-28,Wednesday,27,2022,4:00 PM,7:00 PM,NULL,Summer/Early Fall,74,85,0,0
2022-07-01,Saturday,27,2022,8:00 AM,2:00 PM,NULL,Summer/Early Fall,72,79,0,0
2022-07-05,Wednesday,28,2022,4:00 PM,7:00 PM,NULL,Summer/Early Fall,70,89,0,0
2022-07-08,Saturday,28,2022,8:00 AM,2:00 PM,NULL,Summer/Early Fall,67,78,0,0
2022-07-12,Wednesday,29,2022,4:00 PM,7:00 PM,NULL,Summer/Early Fall,77,90,0,0
2022-07-15,Saturday,29,2022,8:00 AM,2:00 PM,NULL,Summer/Early Fall,65,81,0,0
2022-07-19,Wednesday,30,2022,4:00 PM,7:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2022-07-22,Saturday,30,2022,8:00 AM,2:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2022-07-26,Wednesday,31,2022,4:00 PM,7:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2022-07-29,Saturday,31,2022,8:00 AM,2:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2022-08-02,Wednesday,32,2022,4:00 PM,7:00 PM,NULL,Summer/Early Fall,NULL,NULL,1,0
2022-08-05,Saturday,32,2022,8:00 AM,2:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2022-08-09,Wednesday,33,2022,4:00 PM,7:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2022-08-12,Saturday,33,2022,8:00 AM,2:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2022-08-16,Wednesday,34,2022,4:00 PM,7:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2022-08-19,Saturday,34,2022,8:00 AM,2:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2022-08-23,Wednesday,35,2022,4:00 PM,7:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2022-08-26,Saturday,35,2022,8:00 AM,2:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
2022-08-30,Wednesday,36,2022,4:00 PM,7:00 PM,NULL,Summer/Early Fall,NULL,NULL,0,0
